"text","DisplayName","Reputation"
"Thanks for the input all! Just to clarify, the zipping is essential because that's what the artist's fans will download when they ""sign-up"" through the widget. To see the widgets I'm talking about visit noisetrade.com.",Mark,100
"I should have specified, I'm using a JFrame as the primary and plan on using a JWindow for the secondary.",dustins,100
"This works, but the field is not part of Customer object which is a drawback since I can not add it to datagrid (or any other databound controls) without writing a lot of code",Michael Feinstein,100
Server technology for this is using apache 2.2,Curtis,100
"I'm not getting an error; I'm simply not getting a bundle with the intent that is passed to my BroadcastReceiver's onReceive(Context, Intent) method;  I'm assuming that the intent passed to my BroadcastReceiver is the same intent I create (and populate) in my Activity.  In this case, any argument I want to pass is indeed Serializable.",ivcheto,100
"On the Centos 5 installation I am working with, there does not appear to be a ""deluser"" installed on the system.  I am currently looking for it in the repositories.  I have started working on a perl script, but it will probably take me an hour or two to get the perl side of my brain spooled back up.",Loren Charnley,100
"The shortcuts that will be used are to be user customised, not hard coded

They then get set as a global shortcut so they can activate and de-activated using that shortcut without having the application active.  This is working but I wanted to give the user the option to use the windows key as well.",HannesNZ,100
"I'm actually receiving a packet with 19 bytes in it and assembling two sets of four bytes to make to floating-point numbers.  So received_data[1] to received_data[4] is one float, and received_data[5] to received_data[9] is the other...",sevenboarder,100
"heh, well that's simple enough. Thank you.",Colin,100
"Sorry, I don't think I worded my question that well.",Anti-Dentite,100
"ok I'm bringin the conversation back here so Nakkisormi can delete his answer. IE7 does look fine, IE6 is the stinker.",PeterL,100
"Hello - thanks for the answer

I have Windows XP SP2. CPU CELERON 2.66. 1.25 Gb memory. Browser - repeat in both IE and FF - event if the borower is cut down. Also I'm not play any video in application.",Vladimir,100
"Hi Sergiu Damian
 i understood what you said...but i dont know how to to get data in a bidirectional way...
can you please tell me with an example?",sona,100
"I think I might have found a solution. Along with what you guys said about println and socket initialization, I synchronized the SendMsg function and that seems to have fixed it, at least for now. I think part of the problem was that since both threads are launched almost simultaneously, they set up their own sockets - with the first being overwritten by the second, hence causing a faulty count (from only one thread). I don't know if it will hold up when I have more threads accessing it, but then the ExecutorService might come in handy. Thanks again for all your help!",thodinc,100
"Ok, thanks. 

I still having some doubts, but I'll ask again when I need it. :)",Jesus Jimenez,100
"Won't speaking of tmp as an array would be like keeping him under confusion for longer. 
tmp is a pointer to an array, thats the correct definition. The sooner he learns, the better, isn't it?",Elitecoder,100
"Yes, the zip files will almost always contain more than one mp3 (most of the time they are full albums). The problem with modifying the existing zip file is that none of the files reside on the actual application server. They are all stored in Amazon S3 because of bandwidth costs.",Mark,100
"I'm not sure how this would be helpful. Fhe cursor position doesn't seem to help with knowing when the main JFrame is being moved does it?

I was hoping it is possible to know when mouseDown is fired on the titlebar and then update jwindow pos. for each mouseDragged thereafter.",dustins,100
Tried to clarify with Database definition,Michael Feinstein,100
The server is apache 2.2.  And your suggestion will work with asp.net but wondering if there might be another way with out using asp.net,Curtis,100
"Ah yes, I misspoke; I'm using the Alarm as an avenue to invoke a particular activity at a particular time, and when the alarm goes off, I create a notification which the user can then drop down whenever convenient and only then invoke the activity, so that I don't disturb whatever they happen to be doing.  Thanks for your answer!",ivcheto,100
Apparently deluser is Debian specific.,Loren Charnley,100
"This is already what i'm using to register the hotkey, but to get the shortcut to use from the user i'm using a THotKey component.  but that is the one that doesn't support the win key, not the 'RegisterHotKey' function.  I might just implement the user input a different way.",HannesNZ,100
"Thanks, so that means if f = 1.0162 it would be int f == 1, so I would just have to scale it,  f*=1000; so int f == 1016 to retain precision?",sevenboarder,100
Hi Jeff - This works and gets rid of the error message but the file now splits the data from the table (there are 9 columns and around 90 rows as I type) into uneven chunks. One field is 3000 chars and it seems to not like this one at all. If exported as .xls then at least the data is kept in tabular format that can be used.,TheTub,100
"Thank you for the quick reply, but to clarify (I don't know if it matters), I'm not trying to edit the form field in any way, I only need to clone it. 

Okay, well I do need to edit it later by changing the element id/name, but I don't see that as being a security risk.",Anti-Dentite,100
"your absolutely right Chris.

I had a height set for the link element which IE6 ignored but other browsers used to crop the borders.

I replaced the height:26 with a margin-bottom:-4 and this had the same effect, but worked in all browsers.

thanks for your help.",PeterL,100
Thanks a lot for sample. It realy help me. I will vote for your answer as soon as I get 15 reputation,Vladimir,100
The one where the Value property of the ListItem match the string passed to the SelectedValue property of the ListControl.,Pinpin,100
"Yes, the ConnectionHandler starts a new thread that keeps checking to see if anything has been received and does whatever it needs to do with it.",thodinc,100
"Fine, I give up. ImageIO can't work well(at least for me). I just want change the quality of the image to compress it without lose any information and looks as same as possible with the origin photo.

Java failed me, I'm going to use ImageMagic and JNI to do this.

Maybe I was wrong. Anyone from oracle can help?",guitarpoet,100
"Lol, am I too confusing??",Elitecoder,100
"yep, zipping to provide the artist's fans with a simple one-click download rather than track-by-track.",Mark,100
"Thank you much! I couldn't use this feature as is, becouse my survey is special. But it is good as example.",RollingStone,100
"Note: I need POST example, and not URI - URI has many other limitations such as size and requirement to sanitize string.",Michael Feinstein,100
"This is exactly what I was looking for- implemented it and for some reason it didn't add the selector on Mac browsers, but it added classes to the PC ones just fine. Thanks!",pixi,100
"Hmm, adding the PendingIntent.FLAG_UPDATE_CURRENT as a flag when getting the PendingIntent doesn't seem to change anything;  I'm still not getting the extras from the intent in my original Activity to the intent passed to the onReceive",ivcheto,100
"They most certainly are specifically for controlling layout - the layout of tabular data.  Yes, initially the intent was tabular layout of text or numeric data - but graphical data is data too - the distinction is largely artificial..",Loren Charnley,100
"Thanks, something like that is what i'll do to get this working.",HannesNZ,100
"I gave the paper a skim,  I might put that off till later... haha",sevenboarder,100
Thanks - this explains the error message. I might look into Jeff's solution below to see if I can get the data to sit nicely in a .csv file.,TheTub,100
"I get incompatible pointer time on the 3rd argument.... I'm not terribly familiar with Obj-C I'm afraid. the docs say it should be a void pointer, thats the same as id i think? in which case i'm back to the same problem as above....",Russel West,100
"Also, the extra long navbar was fixed by floating the div for the rounded corner to the left.

Case closed",PeterL,100
"Hello

thanks for the answer. I want make the text alpha changing from 1 to 0 under mask. 

Is this possible?

Thanks

Vladimir",Vladimir,100
"Yeah it got parsed out, hehe :)",richyz,100
"All of the nodes are running a Fedora 8.0 core, so unless the owners of the nodes put up a firewall themselves, there shouldn't be any. I'm working with 400 nodes at the moment and the application manages to run on about 320 of them without any problems, but it's doubtful that 80 nodes have set up firewalls when they shouldn't be. I have sent them e-mails to find out if that's the case, but is there any other reason this could be happening, especially since netstat shows an ESTABLISHED status?",thodinc,100
